generation,best_z1_eur,best_z2_m3
1,0.00,37312.83
2,0.00,36524.03
3,0.00,36524.03
4,0.00,36524.03
5,0.00,36524.03
6,0.00,36524.03
7,0.00,36524.03
8,0.00,36524.03
9,0.00,36524.03
10,0.00,36524.03
11,0.00,36524.03
12,0.00,36524.03
13,0.00,36524.03
14,0.00,36524.03
15,0.00,36524.03
16,0.00,36524.03
17,0.00,36524.03
18,0.00,36524.03
19,0.00,36524.03
20,0.00,36524.03
21,0.00,36524.03
22,0.00,36524.03
23,0.00,36524.03
24,0.00,36524.03
25,0.00,36524.03
26,0.00,36524.03
27,0.00,36524.03
28,0.00,36524.03
29,0.00,36524.03
30,0.00,36524.03
31,0.00,36524.03
32,0.00,36524.03
33,0.00,36524.03
34,0.00,36524.03
35,0.00,36524.03
36,0.00,36524.03
37,0.00,36524.03
38,0.00,36524.03
39,0.00,36524.03
40,0.00,36524.03
41,0.00,36524.03
42,0.00,36524.03
43,0.00,36524.03
44,0.00,36524.03
45,0.00,36524.03
46,0.00,36524.03
47,0.00,36524.03
48,0.00,36524.03
49,0.00,36524.03
50,0.00,36524.03
51,0.00,36524.03
52,0.00,36524.03
53,0.00,36524.03
54,0.00,36524.03
55,0.00,36524.03
56,0.00,36524.03
57,0.00,36524.03
58,0.00,36524.03
59,0.00,36524.03
60,0.00,36524.03
61,0.00,36524.03
62,0.00,36524.03
63,0.00,36524.03
64,0.00,36524.03
65,0.00,36524.03
66,0.00,36524.03
67,0.00,36524.03
68,0.00,36524.03
69,0.00,36524.03
70,0.00,36524.03
71,0.00,36524.03
72,0.00,36524.03
73,0.00,36524.03
74,0.00,36524.03
75,0.00,36524.03
76,0.00,36524.03
77,0.00,36524.03
78,0.00,36524.03
79,0.00,36524.03
80,0.00,36524.03
81,0.00,36524.03
82,0.00,36524.03
83,0.00,36524.03
84,0.00,36524.03
85,0.00,36524.03
86,0.00,36524.03
87,0.00,36524.03
88,0.00,36524.03
89,0.00,36524.03
90,0.00,36495.17
91,0.00,36495.17
92,0.00,36495.17
93,0.00,36495.17
94,0.00,36495.17
95,0.00,36495.17
96,0.00,36495.17
97,0.00,36495.17
98,0.00,36495.17
99,0.00,36495.17
100,0.00,36495.17
101,0.00,36495.17
