generation,best_z1_eur,best_z2_m3
1,0.00,87581.74
2,0.00,86629.49
3,0.00,86629.49
4,0.00,86629.49
5,0.00,86629.49
6,0.00,86629.49
7,0.00,86629.49
8,0.00,86629.49
9,0.00,86629.49
10,0.00,86629.49
11,0.00,86629.49
12,0.00,86629.49
13,0.00,86629.49
14,0.00,86629.49
15,0.00,86629.49
16,0.00,86629.49
17,0.00,86629.49
18,0.00,86629.49
19,0.00,86629.49
20,0.00,86629.49
21,0.00,86629.49
22,0.00,86629.49
23,0.00,86629.49
24,0.00,86629.49
25,0.00,86629.49
26,0.00,86629.49
27,0.00,86629.49
28,0.00,86629.49
29,0.00,86629.49
30,0.00,86629.49
31,0.00,86629.49
32,0.00,86629.49
33,0.00,86629.49
34,0.00,86629.49
35,0.00,86629.49
36,0.00,86629.49
37,0.00,86629.49
38,0.00,86629.49
39,0.00,86629.49
40,0.00,86629.49
41,0.00,86629.49
42,0.00,86629.49
43,0.00,86629.49
44,0.00,86629.49
45,0.00,86629.49
46,0.00,86629.49
47,0.00,86629.49
48,0.00,86629.49
49,0.00,86629.49
50,0.00,86629.49
51,0.00,86629.49
52,0.00,86629.49
53,0.00,86629.49
54,0.00,86629.49
55,0.00,86629.49
56,0.00,86629.49
57,0.00,86629.49
58,0.00,86629.49
59,0.00,86629.49
60,0.00,86629.49
61,0.00,86629.49
62,0.00,86629.49
63,0.00,86629.49
64,0.00,86629.49
65,0.00,86629.49
66,0.00,86629.49
67,0.00,85697.80
68,0.00,85697.80
69,0.00,85697.80
70,0.00,85697.80
71,0.00,85697.80
72,0.00,85697.80
73,0.00,85697.80
74,0.00,85697.80
75,0.00,85697.80
76,0.00,85697.80
77,0.00,85697.80
78,0.00,85697.80
79,0.00,85697.80
80,0.00,85697.80
81,0.00,85697.80
82,0.00,85697.80
83,0.00,85697.80
84,0.00,85697.80
85,0.00,85697.80
86,0.00,85697.80
87,0.00,85697.80
88,0.00,85697.80
89,0.00,85697.80
90,0.00,85697.80
91,0.00,85697.80
92,0.00,85697.80
93,0.00,85697.80
94,0.00,85697.80
95,0.00,85697.80
96,0.00,85697.80
97,0.00,85697.80
98,0.00,85697.80
99,0.00,85697.80
100,0.00,85697.80
101,0.00,85697.80
102,0.00,85697.80
103,0.00,85697.80
104,0.00,85697.80
105,0.00,85697.80
106,0.00,85697.80
107,0.00,85697.80
108,0.00,85697.80
109,0.00,85697.80
110,0.00,85697.80
111,0.00,85697.80
112,0.00,85697.80
113,0.00,85697.80
114,0.00,85697.80
115,0.00,85697.80
116,0.00,85697.80
117,0.00,85697.80
118,0.00,85697.80
119,0.00,85697.80
120,0.00,85697.80
121,0.00,85697.80
122,0.00,85697.80
123,0.00,85697.80
124,0.00,85697.80
125,0.00,85697.80
126,0.00,85697.80
127,0.00,85697.80
128,0.00,85697.80
129,0.00,85697.80
130,0.00,85697.80
131,0.00,85697.80
132,0.00,85697.80
133,0.00,85697.80
