generation,best_z1_eur,best_z2_m3
1,0.00,159522.16
2,0.00,158480.48
3,0.00,158480.48
4,0.00,158480.48
5,0.00,158480.48
6,0.00,158480.48
7,0.00,158480.48
8,0.00,158480.48
9,0.00,158480.48
10,0.00,158480.48
11,0.00,158480.48
12,0.00,158480.48
13,0.00,158480.48
14,0.00,158480.48
15,0.00,158480.48
16,0.00,158480.48
17,0.00,158480.48
18,0.00,158480.48
19,0.00,158480.48
20,0.00,158480.48
21,0.00,158480.48
22,0.00,158480.48
23,0.00,158480.48
24,0.00,158480.48
25,0.00,158480.48
26,0.00,158480.48
27,0.00,158480.48
28,0.00,158480.48
29,0.00,158480.48
30,0.00,158480.48
31,0.00,158480.48
32,0.00,158480.48
33,0.00,158480.48
34,0.00,158480.48
35,0.00,158480.48
36,0.00,158480.48
37,0.00,158480.48
38,0.00,158480.48
39,0.00,158480.48
40,0.00,158480.48
41,0.00,158480.48
42,0.00,158480.48
43,0.00,158480.48
44,0.00,158480.48
45,0.00,158480.48
46,0.00,158480.48
47,0.00,158480.48
48,0.00,158480.48
49,0.00,158480.48
50,0.00,158480.48
51,0.00,158480.48
52,0.00,158480.48
53,0.00,158480.48
54,0.00,158480.48
55,0.00,158480.48
56,0.00,158480.48
57,0.00,158480.48
58,0.00,158480.48
59,0.00,158480.48
60,0.00,158480.48
61,0.00,158480.48
62,0.00,158480.48
63,0.00,158480.48
64,0.00,158480.48
65,0.00,158480.48
66,0.00,158480.48
67,0.00,158480.48
68,0.00,158480.48
69,0.00,158480.48
70,0.00,158480.48
71,0.00,158480.48
72,0.00,158480.48
73,0.00,158480.48
74,0.00,158480.48
75,0.00,158480.48
76,0.00,158480.48
77,0.00,158480.48
78,0.00,158480.48
79,0.00,158480.48
80,0.00,158480.48
81,0.00,158480.48
82,0.00,158480.48
83,0.00,158480.48
84,0.00,158480.48
85,0.00,158480.48
86,0.00,158480.48
87,0.00,158480.48
88,0.00,158480.48
89,0.00,158480.48
90,0.00,158480.48
91,0.00,158480.48
92,0.00,158480.48
93,0.00,158480.48
94,0.00,158480.48
95,0.00,158480.48
96,0.00,158480.48
97,0.00,158480.48
98,0.00,158480.48
99,0.00,158480.48
100,0.00,158480.48
101,0.00,158480.48
102,0.00,158480.48
103,0.00,158480.48
104,0.00,158480.48
105,0.00,158480.48
106,0.00,158480.48
107,0.00,158480.48
108,0.00,158480.48
109,0.00,158480.48
110,0.00,158480.48
111,0.00,158480.48
112,0.00,158480.48
113,0.00,158480.48
114,0.00,157619.82
115,0.00,157619.82
116,0.00,157619.82
117,0.00,157619.82
118,0.00,157619.82
119,0.00,157619.82
120,0.00,157619.82
121,0.00,157619.82
122,0.00,157619.82
123,0.00,157619.82
124,0.00,157619.82
125,0.00,157619.82
126,0.00,157619.82
127,0.00,157619.82
128,0.00,157619.82
129,0.00,157619.82
130,0.00,157619.82
131,0.00,157619.82
132,0.00,157619.82
133,0.00,157619.82
134,0.00,157619.82
135,0.00,157619.82
136,0.00,157619.82
137,0.00,157619.82
138,0.00,157619.82
139,0.00,157619.82
140,0.00,157619.82
141,0.00,157619.82
142,0.00,157024.31
143,0.00,157024.31
144,0.00,157024.31
145,0.00,157024.31
146,0.00,157024.31
147,0.00,157024.31
148,0.00,157024.31
149,0.00,157024.31
150,0.00,157024.31
151,0.00,157024.31
152,0.00,157024.31
153,0.00,157024.31
154,0.00,157024.31
155,0.00,157024.31
156,0.00,157024.31
157,0.00,157024.31
158,0.00,157024.31
159,0.00,157024.31
160,0.00,157024.31
161,0.00,157024.31
162,0.00,157024.31
163,0.00,157024.31
164,0.00,157024.31
165,0.00,157024.31
166,0.00,157024.31
167,0.00,157024.31
168,0.00,157024.31
169,0.00,157024.31
170,0.00,157024.31
171,0.00,157024.31
172,0.00,157024.31
173,0.00,157024.31
174,0.00,157024.31
175,0.00,157024.31
176,0.00,157024.31
177,0.00,157024.31
178,0.00,157024.31
179,0.00,157024.31
180,0.00,157024.31
181,0.00,157024.31
182,0.00,157024.31
183,0.00,157024.31
184,0.00,157024.31
185,0.00,157024.31
186,0.00,157024.31
187,0.00,157024.31
188,0.00,157024.31
189,0.00,157024.31
190,0.00,157024.31
191,0.00,157024.31
192,0.00,157024.31
193,0.00,157024.31
194,0.00,157024.31
195,0.00,157024.31
196,0.00,157024.31
197,0.00,157024.31
198,0.00,157024.31
199,0.00,157024.31
200,0.00,157024.31
201,0.00,157024.31
202,0.00,157024.31
203,0.00,157024.31
204,0.00,157024.31
205,0.00,157024.31
206,0.00,157024.31
207,0.00,157024.31
208,0.00,157024.31
209,0.00,157024.31
210,0.00,157024.31
211,0.00,157024.31
212,0.00,157024.31
213,0.00,157024.31
214,0.00,157024.31
215,0.00,157024.31
216,0.00,157024.31
217,0.00,157024.31
218,0.00,157024.31
219,0.00,157024.31
220,0.00,157024.31
221,0.00,157024.31
222,0.00,157024.31
223,0.00,157024.31
224,0.00,157024.31
225,0.00,157024.31
226,0.00,157024.31
227,0.00,157024.31
228,0.00,157024.31
229,0.00,157024.31
230,0.00,157024.31
231,0.00,157024.31
232,0.00,157024.31
233,0.00,157024.31
234,0.00,157024.31
235,0.00,157024.31
236,0.00,157024.31
237,0.00,157024.31
238,0.00,157024.31
239,0.00,157024.31
240,0.00,157024.31
241,0.00,157024.31
242,0.00,157024.31
243,0.00,157024.31
244,0.00,157024.31
245,0.00,157024.31
246,0.00,157024.31
247,0.00,157024.31
248,0.00,157024.31
249,0.00,157024.31
250,0.00,157024.31
251,0.00,157024.31
252,0.00,157024.31
253,0.00,157024.31
254,0.00,157024.31
255,0.00,157024.31
256,0.00,157024.31
257,0.00,157024.31
258,0.00,157024.31
259,0.00,157024.31
260,0.00,157024.31
261,0.00,157024.31
262,0.00,157024.31
263,0.00,157024.31
264,0.00,157024.31
265,0.00,157024.31
266,0.00,157024.31
267,0.00,157024.31
268,0.00,157024.31
269,0.00,157024.31
270,0.00,157024.31
271,0.00,157024.31
272,0.00,157024.31
273,0.00,157024.31
274,0.00,157024.31
275,0.00,157024.31
276,0.00,157024.31
277,0.00,157024.31
278,0.00,157024.31
279,0.00,157024.31
280,0.00,157024.31
281,0.00,157024.31
282,0.00,157024.31
283,0.00,157024.31
284,0.00,157024.31
285,0.00,157024.31
286,0.00,157024.31
287,0.00,157024.31
288,0.00,157024.31
289,0.00,157024.31
290,0.00,157024.31
291,0.00,157024.31
292,0.00,157024.31
293,0.00,157024.31
294,0.00,157024.31
295,0.00,157024.31
296,0.00,157024.31
297,0.00,157024.31
298,0.00,157024.31
299,0.00,157024.31
300,0.00,157024.31
